text,location,state,department
"power outage and electricity failure in my area","Mumbai","Maharashtra","State Electricity Board"
"no water supply for three days","Pune","Maharashtra","State Water Supply"
"garbage and waste not collected on main street","Bengaluru Urban","Karnataka","District Waste Management"
"potholes and broken road needs repair","Lucknow","Uttar Pradesh","State Public Works"
"street lights are not working in the city center","Chennai","Tamil Nadu","State Electricity Board"
"leaking pipe causing water wastage","Mumbai","Maharashtra","State Water Supply"
"transformer exploded, immediate help needed","New Delhi","Delhi","State Electricity Board"
"sewage overflow on the highway","Hyderabad","Telangana","State Public Works"
"traffic signal is broken at the main intersection","New Delhi","Delhi","Central Transport Authority"
"illegal parking is blocking the road to the hospital","Kolkata","West Bengal","District Police"
"the park is not clean, lots of garbage everywhere","Bengaluru Urban","Karnataka","District Waste Management"
"low voltage and frequent power cuts in our neighborhood","Pune","Maharashtra","State Electricity Board"
"water is dirty and smells bad","Mumbai","Maharashtra","State Water Supply"
"a large tree has fallen and is blocking the road","Lucknow","Uttar Pradesh","State Public Works"
"the bus is never on time","New Delhi","Delhi","Central Transport Authority"
"a robbery was reported near the main market","Mumbai","Maharashtra","State Police"
"need a new water connection for my house","Pune","Maharashtra","State Water Supply"
"the national highway is in a terrible condition","Hyderabad","Telangana","Ministry of Road Transport and Highways"
"my income tax refund is delayed","New Delhi","Delhi","Ministry of Finance"
"passport verification is pending at the police station","Bengaluru Urban","Karnataka","Ministry of Home Affairs"
"the street dogs are a menace in our area","Chennai","Tamil Nadu","Municipal Corporation"
"need birth certificate from the municipal office","Kolkata","West Bengal","Municipal Corporation"
"school admissions are not transparent","Lucknow","Uttar Pradesh","District Education Office"
"the train was late by 5 hours","New Delhi","Delhi","Ministry of Railways"
"pension has not been credited this month","New Delhi","Delhi","Ministry of Finance"
"the new building construction is violating norms","Mumbai","Maharashtra","Municipal Corporation"
"the river is being polluted by a factory","Pune","Maharashtra","Ministry of Environment, Forest and Climate Change"
"theft in my apartment, need police assistance","Bengaluru Urban","Karnataka","State Police"
"no electricity since morning","Chennai","Tamil Nadu","State Electricity Board"
"the public library is always closed","Kolkata","West Bengal","District Education Office"
"need to file a property tax return","Mumbai","Maharashtra","Municipal Corporation"
"the main road is flooded after a short rain","Pune","Maharashtra","State Public Works"
"the metro station is very unclean","New Delhi","Delhi","Central Transport Authority"
"customs duty issue at the airport","New Delhi","Delhi","Ministry of Finance"
"the government hospital is understaffed","Bengaluru Urban","Karnataka","District Health Office"
"loud music being played late at night","Chennai","Tamil Nadu","District Police"
"the forest area is being encroached upon","Kolkata","West Bengal","Ministry of Environment, Forest and Climate Change"
"the national park needs better maintenance","Lucknow","Uttar Pradesh","Ministry of Environment, Forest and Climate Change"
"the army recruitment process is unclear","New Delhi","Delhi","Ministry of Defence"
"the local court is not functioning properly","Mumbai","Maharashtra","District Collector's Office"
"broken water meter, high bill","Nagpur","Maharashtra","State Water Supply"
"illegal construction in residential area","Thane","Maharashtra","Municipal Corporation"
"drainage system overflowing","Nashik","Maharashtra","Municipal Corporation"
"power lines are sparking dangerously","Bengaluru Urban","Karnataka","State Electricity Board"
"garbage dump near school","Mysuru","Karnataka","District Waste Management"
"road construction causing traffic jams","Mangaluru","Karnataka","State Public Works"
"stray cattle on the roads","Belagavi","Karnataka","Municipal Corporation"
"noise pollution from factory","Hubballi-Dharwad","Karnataka","State Police"
"corrupt official demanding bribe","Lucknow","Uttar Pradesh","Department of Revenue"
"lack of public toilets","Kanpur","Uttar Pradesh","Municipal Corporation"
"unauthorized street vendors","Ghaziabad","Uttar Pradesh","District Police"
"poor sanitation in slum areas","Agra","Uttar Pradesh","District Health Office"
"damaged historical monument","Varanasi","Uttar Pradesh","State Public Works"
"water logging after heavy rains","Chennai","Tamil Nadu","Municipal Corporation"
"electricity meter faulty","Coimbatore","Tamil Nadu","State Electricity Board"
"encroachment on public land","Madurai","Tamil Nadu","Department of Revenue"
"public transport bus breakdown","Tiruchirappalli","Tamil Nadu","State Transport"
"missing person complaint","Hyderabad","Telangana","State Police"
"fraudulent land deals","Hyderabad","Telangana","Department of Revenue"
"pollution from industrial waste","Hyderabad","Telangana","Ministry of Environment, Forest and Climate Change"
"passport renewal issues","New Delhi","Delhi","Ministry of Home Affairs"
"delay in GST refunds","New Delhi","Delhi","Ministry of Finance"
"railway track maintenance needed","New Delhi","Delhi","Ministry of Railways"
"poor quality of mid-day meals in schools","New Delhi","Delhi","Ministry of Education"
"illegal mining activities","Ranchi","Jharkhand","Department of Revenue"
"forest fire spreading rapidly","Dehradun","Uttarakhand","Ministry of Environment, Forest and Climate Change"
"beach pollution from tourists","Goa","Goa","District Waste Management"
"fishing boat missing at sea","Kochi","Kerala","Ministry of Home Affairs"
"cyber crime reported","Bengaluru Urban","Karnataka","State Police"
"bridge collapse due to heavy rain","Patna","Bihar","State Public Works"
"flood relief not reaching affected areas","Guwahati","Assam","District Collector's Office"
"wildlife poaching in national park","Bhopal","Madhya Pradesh","Ministry of Environment, Forest and Climate Change"
"smuggling of goods at border","Amritsar","Punjab","Ministry of Finance"
"drug trafficking in the city","Jaipur","Rajasthan","State Police"
"temple property encroachment","Bhubaneswar","Odisha","Department of Revenue"
"lack of medical facilities in rural areas","Raipur","Chhattisgarh","District Health Office"
"drinking water contamination","Ahmedabad","Gujarat","State Water Supply"
"illegal sand mining","Chandigarh","Chandigarh","Department of Revenue"
"road accident due to poor road conditions","Shimla","Himachal Pradesh","State Public Works"
"school building dilapidated","Srinagar","Jammu and Kashmir","District Education Office"
"power theft in the locality","Agartala","Tripura","State Electricity Board"
